               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  65,             0.06842,             0.02927,           0.0067244,             0.72492,             0.63919,             0.71788,             0.28989,            0.064525,            0.026218,            0.011237,            0.007888,            0.007888,            0.007888
                  66,            0.069292,            0.031688,           0.0085812,             0.75876,             0.66971,             0.71854,             0.34245,             0.06219,            0.025612,            0.011386,            0.007855,            0.007855,            0.007855
                  67,            0.060841,            0.025569,           0.0072815,             0.77414,             0.53905,             0.70269,             0.35532,            0.059819,            0.025538,            0.012487,            0.007822,            0.007822,            0.007822
                  68,            0.060574,            0.030671,           0.0060018,              0.8572,              0.5014,             0.65483,             0.24245,            0.066277,            0.025667,            0.012559,            0.007789,            0.007789,            0.007789
                  69,            0.065414,            0.028235,           0.0064393,             0.49524,             0.59343,             0.55693,             0.13502,             0.07152,            0.026271,            0.011647,            0.007756,            0.007756,            0.007756
                  70,            0.071578,             0.02622,           0.0047079,             0.80992,             0.48413,             0.62671,             0.30537,            0.063451,            0.026282,            0.014301,            0.007723,            0.007723,            0.007723
                  71,            0.060904,            0.028764,           0.0067555,             0.78786,             0.66164,             0.66618,             0.32226,            0.061472,            0.026108,            0.011228,             0.00769,             0.00769,             0.00769
                  72,            0.058482,            0.026932,           0.0048763,             0.75203,             0.68338,             0.69699,             0.35707,            0.062901,            0.026133,            0.011187,            0.007657,            0.007657,            0.007657
                  73,            0.061103,            0.027837,           0.0053669,             0.77158,              0.7074,             0.73569,             0.36163,            0.060583,            0.026291,            0.011033,            0.007624,            0.007624,            0.007624
                  74,            0.058579,            0.026682,           0.0051024,             0.95238,             0.65082,             0.77715,             0.35689,            0.062345,            0.025785,            0.010679,            0.007591,            0.007591,            0.007591
                  75,            0.060851,            0.028157,           0.0045874,             0.84262,             0.69144,             0.75055,             0.34512,            0.063225,            0.025981,            0.011082,            0.007558,            0.007558,            0.007558
                  76,            0.062684,            0.023866,           0.0057401,             0.94088,             0.63476,             0.77477,             0.33857,            0.064819,            0.025713,             0.01035,            0.007525,            0.007525,            0.007525
                  77,            0.062375,            0.025753,           0.0052002,             0.88131,             0.63151,              0.7414,             0.30921,            0.062526,            0.026089,            0.011117,            0.007492,            0.007492,            0.007492
                  78,            0.060185,             0.02832,           0.0040587,             0.92032,             0.66682,              0.7712,             0.33144,            0.064213,            0.026178,            0.010443,            0.007459,            0.007459,            0.007459
                  79,            0.061719,            0.026147,           0.0060591,             0.87177,              0.6641,             0.74661,             0.29206,            0.063038,            0.026245,            0.011507,            0.007426,            0.007426,            0.007426
                  80,            0.061267,            0.026232,           0.0069874,             0.85544,             0.67728,             0.76166,             0.33677,            0.061018,            0.026101,            0.010651,            0.007393,            0.007393,            0.007393
                  81,            0.058592,            0.023938,           0.0034985,             0.77966,             0.62623,             0.69246,             0.27127,             0.06539,            0.026455,             0.01165,             0.00736,             0.00736,             0.00736
                  82,            0.061614,            0.023655,            0.004413,             0.96102,              0.6868,               0.791,             0.32734,            0.061382,            0.026499,           0.0094619,            0.007327,            0.007327,            0.007327
                  83,            0.062581,            0.027599,           0.0039968,             0.84135,              0.6768,             0.75834,             0.28874,            0.063202,            0.026588,             0.01112,            0.007294,            0.007294,            0.007294
                  84,            0.059156,            0.025858,           0.0041334,             0.86695,             0.67777,             0.75307,              0.3326,             0.06379,            0.026499,            0.011724,            0.007261,            0.007261,            0.007261
                  85,            0.064367,            0.026939,           0.0031206,             0.78548,             0.64236,             0.70567,             0.25938,            0.067448,            0.026251,            0.011884,            0.007228,            0.007228,            0.007228
                  86,            0.062104,            0.026528,           0.0036694,             0.83234,             0.72931,             0.76884,             0.38334,            0.059004,            0.026257,            0.011354,            0.007195,            0.007195,            0.007195
                  87,            0.061396,            0.025551,           0.0046121,             0.83489,             0.67777,             0.72546,             0.29747,            0.062725,            0.026332,            0.011328,            0.007162,            0.007162,            0.007162
                  88,            0.059827,            0.027969,            0.004767,             0.89154,             0.71283,             0.77415,             0.38184,            0.059529,            0.026284,            0.011205,            0.007129,            0.007129,            0.007129
                  89,            0.059173,            0.026376,           0.0035461,              0.8844,             0.66308,             0.74158,             0.28563,            0.065626,             0.02614,            0.011193,            0.007096,            0.007096,            0.007096
                  90,             0.06252,            0.026848,           0.0031196,             0.78969,             0.72899,              0.7547,             0.31182,            0.063469,            0.026512,            0.011579,            0.007063,            0.007063,            0.007063
                  91,            0.064287,            0.026118,           0.0034923,             0.86232,             0.72931,             0.76509,             0.32671,            0.066697,            0.025998,            0.011204,             0.00703,             0.00703,             0.00703
                  92,            0.062097,             0.02397,           0.0033858,             0.90174,             0.72103,              0.7805,             0.37855,            0.061666,            0.026679,             0.01065,            0.006997,            0.006997,            0.006997
